text,is_correct
the backpack is to the left of the bus,1
the monitor is to the right of the cat,0
the cat is to the right of the monitor,1
the cat is to the left of the monitor,0
the monitor is to the left of the cat,1
the window is to the left of the monitor,0
the monitor is to the left of the window,1
the street is to the right of the wall,0
the wall is to the right of the street,1
the tunnel is to the right of the wall,0
the wall is to the right of the tunnel,1
the trees is to the right of the wall,0
the wall is to the right of the trees,1
the wall is to the left of the trees,0
the trees is to the left of the wall,1
the wall is to the left of the tunnel,0
the tunnel is to the left of the wall,1
the wall is to the left of the street,0
the street is to the left of the wall,1
the boxes is near the wall,0
the wall is near the boxes,1
the wall is near the boxes,0
the boxes is near the wall,1
the building is in front of the bushes,0
the bushes is in front of the building,1
the bushes is behind the building,0
the building is behind the bushes,1
the cat is under the napkin,0
the napkin is under the cat,1
the cat is below the napkin,0
the napkin is below the cat,1
the napkin is wearing the cat,0
the cat is wearing the napkin,1
the chair is to the right of the vase,0
the vase is to the right of the chair,1
the pillow is to the right of the vase,0
the vase is to the right of the pillow,1
the bookshelf is to the right of the vase,0
the vase is to the right of the bookshelf,1
the vase is to the left of the pillow,0
the pillow is to the left of the vase,1
the vase is to the left of the bookshelf,0
the bookshelf is to the left of the vase,1
the pot is to the left of the bookshelf,0
the bookshelf is to the left of the pot,1
the vase is to the left of the chair,0
the chair is to the left of the vase,1
the pot is to the left of the chair,0
the chair is to the left of the pot,1
the pillow is to the right of the pot,0
the pot is to the right of the pillow,1
the bookshelf is to the right of the pot,0
the pot is to the right of the bookshelf,1
the bicycle is to the right of the walkway,0
the walkway is to the right of the bicycle,1
the walkway is to the left of the bicycle,0
the bicycle is to the left of the walkway,1
the water is to the left of the bicycle,0
the bicycle is to the left of the water,1
the person is to the left of the man,0
the man is to the left of the person,1
the boat is to the left of the man,0
the man is to the left of the boat,1
the man is to the right of the boat,0
the boat is to the right of the man,1
the man is to the right of the person,0
the person is to the right of the man,1
the water is sitting near the person,0
the person is sitting near the water,1
the bikes is near the bike,0
the bike is near the bikes,1
the patio is parked on the bike,0
the bike is parked on the patio,1
the bike is next to the bikes,0
the bikes is next to the bike,1
the beach is walking on the cow,0
the cow is walking on the beach,1
the restaurants is to the left of the tree,0
the tree is to the left of the restaurants,1
the water is to the right of the ground,0
the ground is to the right of the water,1
the restaurant is to the left of the water,0
the water is to the left of the restaurant,1
the tree is to the right of the restaurants,0
the restaurants is to the right of the tree,1
the water is to the right of the restaurant,0
the restaurant is to the right of the water,1
the blanket is to the left of the wall,0
the wall is to the left of the blanket,1
the wall is to the right of the blanket,0
the blanket is to the right of the wall,1
the tree is near the water,0
the water is near the tree,1
the sky is to the right of the tree,0
the tree is to the right of the sky,1
the water is next to the tree,0
the tree is next to the water,1
the tree is to the left of the sky,0
the sky is to the left of the tree,1
the pizza is on the cheese,0
the cheese is on the pizza,1
the table is on the plate,0
the plate is on the table,1
the cheese is with the pizza,0
the pizza is with the cheese,1
the plate is on the pizza,0
the pizza is on the plate,1
the man is near the refrigerator,0
the refrigerator is near the man,1
the refrigerator is near the man,0
the man is near the refrigerator,1
the refrigerator is on the man,0
the man is on the refrigerator,1
the jacket is wearing the woman,0
the woman is wearing the jacket,1
the balcony is to the left of the box,0
the box is to the left of the balcony,1
the tree is to the right of the child,0
the child is to the right of the tree,1
the table is to the left of the child,0
the child is to the left of the table,1
the child is near the cake,0
the cake is near the child,1
the cake is near the child,0
the child is near the cake,1
the child is to the right of the table,0
the table is to the right of the child,1
the tree is to the right of the table,0
the table is to the right of the tree,1
the table is to the left of the tree,0
the tree is to the left of the table,1
the child is to the left of the tree,0
the tree is to the left of the child,1
the planter is to the right of the cheese,0
the cheese is to the right of the planter,1
the planter is to the right of the mustard,0
the mustard is to the right of the planter,1
the planter is to the right of the onions,0
the onions is to the right of the planter,1
the pants is to the left of the planter,0
the planter is to the left of the pants,1
the onions is to the left of the planter,0
the planter is to the left of the onions,1
the mustard is to the left of the planter,0
the planter is to the left of the mustard,1
the cheese is to the left of the planter,0
the planter is to the left of the cheese,1
the pants is wearing the man,0
the man is wearing the pants,1
the jeans is to the right of the child,0
the child is to the right of the jeans,1
the man is to the right of the child,0
the child is to the right of the man,1
the couch is in front of the child,0
the child is in front of the couch,1
the couch is to the left of the man,0
the man is to the left of the couch,1
the child is to the left of the man,0
the man is to the left of the child,1
the man is to the right of the couch,0
the couch is to the right of the man,1
the child is to the left of the jeans,0
the jeans is to the left of the child,1
the couch is to the left of the jeans,0
the jeans is to the left of the couch,1
the horse is to the right of the house,0
the house is to the right of the horse,1
the carriage is to the left of the horse,0
the horse is to the left of the carriage,1
the building is to the left of the horse,0
the horse is to the left of the building,1
the horse is to the right of the carriage,0
the carriage is to the right of the horse,1
the horse is to the right of the building,0
the building is to the right of the horse,1
the pants is wearing the child,0
the child is wearing the pants,1
the bed is on the woman,0
the woman is on the bed,1
the bed is sitting in the woman,0
the woman is sitting in the bed,1
the table is to the left of the bowl,0
the bowl is to the left of the table,1
the bowl is to the right of the table,0
the table is to the right of the bowl,1
the cow is to the left of the door,0
the door is to the left of the cow,1
the building is near the cow,0
the cow is near the building,1
the door is to the right of the cow,0
the cow is to the right of the door,1
the building is to the right of the cow,0
the cow is to the right of the building,1
the cow is next to the building,0
the building is next to the cow,1
the cow is to the left of the building,0
the building is to the left of the cow,1
the building is of the wall,0
the wall is of the building,1
the grill is behind the person,0
the person is behind the grill,1
the grill is under the table,0
the table is under the grill,1
the table is above the grill,0
the grill is above the table,1
the person is in front of the grill,0
the grill is in front of the person,1
the bedroom is inside the bed,0
the bed is inside the bedroom,1
the bed is on the comforter,0
the comforter is on the bed,1
the bed is hanging off the comforter,0
the comforter is hanging off the bed,1
the bed is on top of the comforter,0
the comforter is on top of the bed,1
the wall is to the left of the frame,0
the frame is to the left of the wall,1
the frame is on the couch,0
the couch is on the frame,1
the living room is in the couch,0
the couch is in the living room,1
the wall is to the left of the couch,0
the couch is to the left of the wall,1
the frame is to the right of the wall,0
the wall is to the right of the frame,1
the couch is to the right of the wall,0
the wall is to the right of the couch,1
the plate is above the bowl,0
the bowl is above the plate,1
the bowl is under the plate,0
the plate is under the bowl,1
the snow is covered in the ground,0
the ground is covered in the snow,1
the man is to the left of the water,0
the water is to the left of the man,1
the water is to the right of the man,0
the man is to the right of the water,1
the wall is on the picture,0
the picture is on the wall,1
the box is to the right of the container,0
the container is to the right of the box,1
the food is to the right of the container,0
the container is to the right of the food,1
the bread is to the right of the container,0
the container is to the right of the bread,1
the container is to the left of the food,0
the food is to the left of the container,1
the food is to the left of the bread,0
the bread is to the left of the food,1
the container is to the left of the bread,0
the bread is to the left of the container,1
the donuts is to the left of the box,0
the box is to the left of the donuts,1
the container is to the left of the box,0
the box is to the left of the container,1
the container is to the left of the box,0
the box is to the left of the container,1
the food is to the left of the box,0
the box is to the left of the food,1
the bread is to the right of the food,0
the food is to the right of the bread,1
the box is to the right of the food,0
the food is to the right of the box,1
the box is to the right of the container,0
the container is to the right of the box,1
the plate is on the dessert,0
the dessert is on the plate,1
the ice cream is with the dessert,0
the dessert is with the ice cream,1
the plate is on the spoons,0
the spoons is on the plate,1
the dessert is on the ice cream,0
the ice cream is on the dessert,1
the tree is to the right of the bus,0
the bus is to the right of the tree,1
the sidewalk is to the left of the bus,0
the bus is to the left of the sidewalk,1
the bus is to the left of the tree,0
the tree is to the left of the bus,1
the bus is to the right of the sidewalk,0
the sidewalk is to the right of the bus,1
the shirt is wearing the man,0
the man is wearing the shirt,1
the wall is below the microwave,0
the microwave is below the wall,1
the table is on top of the carrot,0
the carrot is on top of the table,1
the cabbage is to the right of the carrot,0
the carrot is to the right of the cabbage,1
the carrot is to the left of the cabbage,0
the cabbage is to the left of the carrot,1
the table is on top of the cabbage,0
the cabbage is on top of the table,1
the carrot is to the right of the carrots,0
the carrots is to the right of the carrot,1
the table is on top of the carrots,0
the carrots is on top of the table,1
the sweet potato is to the right of the carrots,0
the carrots is to the right of the sweet potato,1
the cabbage is to the right of the carrots,0
the carrots is to the right of the cabbage,1
the table is on top of the sweet potato,0
the sweet potato is on top of the table,1
the wall is near the man,0
the man is near the wall,1
the cake is to the left of the man,0
the man is to the left of the cake,1
the shirt is wearing the man,0
the man is wearing the shirt,1
the man is to the right of the cake,0
the cake is to the right of the man,1
the shirt is to the right of the cake,0
the cake is to the right of the shirt,1
the cake is behind the person,0
the person is behind the cake,1
the man is near the wall,0
the wall is near the man,1
the cake is to the left of the shirt,0
the shirt is to the left of the cake,1
the toilet paper is to the right of the toilet,0
the toilet is to the right of the toilet paper,1
the counter is to the right of the toilet,0
the toilet is to the right of the counter,1
the stars is to the right of the toilet,0
the toilet is to the right of the stars,1
the toilet paper is to the right of the toilet,0
the toilet is to the right of the toilet paper,1
the toilet is to the left of the toilet paper,0
the toilet paper is to the left of the toilet,1
the seat is to the left of the toilet paper,0
the toilet paper is to the left of the seat,1
the toilet is to the left of the toilet paper,0
the toilet paper is to the left of the toilet,1
the toilet is to the left of the stars,0
the stars is to the left of the toilet,1
the toilet is to the left of the stars,0
the stars is to the left of the toilet,1
the seat is to the left of the stars,0
the stars is to the left of the seat,1
the seat is to the left of the toilet paper,0
the toilet paper is to the left of the seat,1
the toilet is to the left of the toilet paper,0
the toilet paper is to the left of the toilet,1
the toilet is to the left of the toilet paper,0
the toilet paper is to the left of the toilet,1
the stars is to the right of the toilet,0
the toilet is to the right of the stars,1
the counter is to the right of the toilet,0
the toilet is to the right of the counter,1
the toilet paper is to the right of the toilet,0
the toilet is to the right of the toilet paper,1
the toilet paper is to the right of the toilet,0
the toilet is to the right of the toilet paper,1
the toilet is to the left of the counter,0
the counter is to the left of the toilet,1
the toilet is to the left of the counter,0
the counter is to the left of the toilet,1
the stars is to the right of the seat,0
the seat is to the right of the stars,1
the toilet paper is to the right of the seat,0
the seat is to the right of the toilet paper,1
the toilet paper is to the right of the seat,0
the seat is to the right of the toilet paper,1
the hangar is in the airplane,0
the airplane is in the hangar,1
the coat is wearing the man,0
the man is wearing the coat,1
the shirt is wearing the man,0
the man is wearing the shirt,1
the park is in the trees,0
the trees is in the park,1
the bicycle is near the bench,0
the bench is near the bicycle,1
the park is in the bench,0
the bench is in the park,1
the bicycle is next to the bench,0
the bench is next to the bicycle,1
the bench is near the bicycle,0
the bicycle is near the bench,1
the bench is leaning on the bicycle,0
the bicycle is leaning on the bench,1
the bench is leaning against the bicycle,0
the bicycle is leaning against the bench,1
the bench is next to the bicycle,0
the bicycle is next to the bench,1
the man is to the right of the bicycle,0
the bicycle is to the right of the man,1
the bench is sitting on the man,0
the man is sitting on the bench,1
the bench is on the man,0
the man is on the bench,1
the bicycle is looking at the man,0
the man is looking at the bicycle,1
the bicycle is to the left of the man,0
the man is to the left of the bicycle,1
the people is to the right of the hill,0
the hill is to the right of the people,1
the tool is to the right of the hill,0
the hill is to the right of the tool,1
the dirt is to the left of the tool,0
the tool is to the left of the dirt,1
the people is to the right of the dirt,0
the dirt is to the right of the people,1
the tool is to the right of the dirt,0
the dirt is to the right of the tool,1
the dirt is to the left of the person,0
the person is to the left of the dirt,1
the dirt is to the left of the people,0
the people is to the left of the dirt,1
the hill is to the left of the people,0
the people is to the left of the hill,1
the wall is to the right of the blanket,0
the blanket is to the right of the wall,1
the headboard is to the right of the wall,0
the wall is to the right of the headboard,1
the blanket is to the left of the wall,0
the wall is to the left of the blanket,1
the mattress is to the left of the wall,0
the wall is to the left of the mattress,1
the wall is to the left of the headboard,0
the headboard is to the left of the wall,1
the bed is of the headboard,0
the headboard is of the bed,1
the wall is to the right of the mattress,0
the mattress is to the right of the wall,1
the building is to the right of the bus,0
the bus is to the right of the building,1
the deck is to the left of the building,0
the building is to the left of the deck,1
the bus is to the left of the building,0
the building is to the left of the bus,1
the building is to the right of the deck,0
the deck is to the right of the building,1
the tree is to the right of the building,0
the building is to the right of the tree,1
the building is to the left of the tree,0
the tree is to the left of the building,1
the clouds is full of the sky,0
the sky is full of the clouds,1
the building is to the left of the tractor,0
the tractor is to the left of the building,1
the cow is to the left of the tractor,0
the tractor is to the left of the cow,1
the cow is near the tractor,0
the tractor is near the cow,1
the cow is to the left of the building,0
the building is to the left of the cow,1
the tractor is to the right of the building,0
the building is to the right of the tractor,1
the tractor is near the cow,0
the cow is near the tractor,1
the park is to the right of the cow,0
the cow is to the right of the park,1
the tractor is to the right of the cow,0
the cow is to the right of the tractor,1
the building is to the right of the cow,0
the cow is to the right of the building,1
the cow is to the left of the park,0
the park is to the left of the cow,1
the cat is on the blanket,0
the blanket is on the cat,1
the bed is on the cat,0
the cat is on the bed,1
the couch is lying on the cat,0
the cat is lying on the couch,1
the road is above the man,0
the man is above the road,1
the jeans is wearing the man,0
the man is wearing the jeans,1
the shirt is wearing the man,0
the man is wearing the shirt,1
the headboard is to the left of the bed,0
the bed is to the left of the headboard,1
the headboard is in front of the bed,0
the bed is in front of the headboard,1
the bed is to the right of the headboard,0
the headboard is to the right of the bed,1
the wall is to the right of the curtains,0
the curtains is to the right of the wall,1
the wall is to the right of the window,0
the window is to the right of the wall,1
the chair is to the left of the cage,0
the cage is to the left of the chair,1
the wall is to the right of the chair,0
the chair is to the right of the wall,1
the cage is to the right of the chair,0
the chair is to the right of the cage,1
the wall is to the right of the blanket,0
the blanket is to the right of the wall,1
the chair is on the blanket,0
the blanket is on the chair,1
the chair is to the left of the wall,0
the wall is to the left of the chair,1
the curtains is to the left of the wall,0
the wall is to the left of the curtains,1
the window is to the left of the wall,0
the wall is to the left of the window,1
the blanket is to the left of the wall,0
the wall is to the left of the blanket,1
the station is in the train,0
the train is in the station,1
the boy is to the left of the ground,0
the ground is to the left of the boy,1
the boy is to the left of the rope,0
the rope is to the left of the boy,1
the animal is holding the boy,0
the boy is holding the animal,1
the rope is to the right of the boy,0
the boy is to the right of the rope,1
the ground is to the right of the boy,0
the boy is to the right of the ground,1
the animal is to the right of the boy,0
the boy is to the right of the animal,1
the aircraft is behind the airport,0
the airport is behind the aircraft,1
the airport is in front of the aircraft,0
the aircraft is in front of the airport,1
the runway is on the aircraft,0
the aircraft is on the runway,1
the girl is to the right of the lunch box,0
the lunch box is to the right of the girl,1
the arm is to the left of the girl,0
the girl is to the left of the arm,1
the lunch box is to the left of the girl,0
the girl is to the left of the lunch box,1
the coat is to the left of the girl,0
the girl is to the left of the coat,1
the elephant is to the right of the mother,0
the mother is to the right of the elephant,1
the girl is to the right of the coat,0
the coat is to the right of the girl,1
the mother is to the left of the elephant,0
the elephant is to the left of the mother,1
the coat is to the left of the elephant,0
the elephant is to the left of the coat,1
the elephant is to the right of the coat,0
the coat is to the right of the elephant,1
the elephant is feeding the arm,0
the arm is feeding the elephant,1
the girl is to the right of the arm,0
the arm is to the right of the girl,1
the bus is to the left of the ground,0
the ground is to the left of the bus,1
the bus is to the left of the sky,0
the sky is to the left of the bus,1
the bus is to the left of the power lines,0
the power lines is to the left of the bus,1
the train is above the power lines,0
the power lines is above the train,1
the power lines is below the train,0
the train is below the power lines,1
the ground is to the right of the bus,0
the bus is to the right of the ground,1
the power lines is to the right of the bus,0
the bus is to the right of the power lines,1
the sky is to the right of the bus,0
the bus is to the right of the sky,1
the skirt is to the left of the box,0
the box is to the left of the skirt,1
the girl is to the left of the box,0
the box is to the left of the girl,1
the box is to the right of the skirt,0
the skirt is to the right of the box,1
the box is to the right of the girl,0
the girl is to the right of the box,1
the giraffe is to the right of the cage,0
the cage is to the right of the giraffe,1
the sky is to the right of the cage,0
the cage is to the right of the sky,1
the cage is to the left of the sky,0
the sky is to the left of the cage,1
the cage is to the left of the giraffe,0
the giraffe is to the left of the cage,1
the backyard is in the girl,0
the girl is in the backyard,1
the tree is to the left of the girl,0
the girl is to the left of the tree,1
the girl is to the right of the tree,0
the tree is to the right of the girl,1
the car is to the right of the crowd,0
the crowd is to the right of the car,1
the crowd is to the left of the car,0
the car is to the left of the crowd,1
the jersey is to the left of the man,0
the man is to the left of the jersey,1
the fence is standing behind the man,0
the man is standing behind the fence,1
the jersey is wearing the man,0
the man is wearing the jersey,1
the pants is wearing the man,0
the man is wearing the pants,1
the uniform is wearing the man,0
the man is wearing the uniform,1
the man is to the right of the jersey,0
the jersey is to the right of the man,1
the head is to the left of the bike,0
the bike is to the left of the head,1
the child is of the head,0
the head is of the child,1
the fence is to the right of the head,0
the head is to the right of the fence,1
the head is to the left of the fence,0
the fence is to the left of the head,1
the bed is to the left of the cord,0
the cord is to the left of the bed,1
the cat is to the right of the bed,0
the bed is to the right of the cat,1
the dogs is below the bed,0
the bed is below the dogs,1
the dogs is to the left of the cat,0
the cat is to the left of the dogs,1
the bed is to the left of the cat,0
the cat is to the left of the bed,1
the bed is on the dog,0
the dog is on the bed,1
the dogs is to the right of the dog,0
the dog is to the right of the dogs,1
the cord is to the right of the dog,0
the dog is to the right of the cord,1
the bed is above the dogs,0
the dogs is above the bed,1
the cord is to the right of the dogs,0
the dogs is to the right of the cord,1
the sky is to the left of the building,0
the building is to the left of the sky,1
the building is to the right of the sky,0
the sky is to the right of the building,1
the people is to the right of the shirt,0
the shirt is to the right of the people,1
the people is to the right of the woman,0
the woman is to the right of the people,1
the wall is to the left of the woman,0
the woman is to the left of the wall,1
the hair is to the left of the woman,0
the woman is to the left of the hair,1
the shirt is to the right of the woman,0
the woman is to the right of the shirt,1
the wall is to the left of the shirt,0
the shirt is to the left of the wall,1
the people is to the right of the shirt,0
the shirt is to the right of the people,1
the wall is to the right of the hair,0
the hair is to the right of the wall,1
the woman is to the right of the hair,0
the hair is to the right of the woman,1
the woman is to the right of the wall,0
the wall is to the right of the woman,1
the shirt is to the right of the wall,0
the wall is to the right of the shirt,1
the people is to the right of the woman,0
the woman is to the right of the people,1
the shirt is to the right of the woman,0
the woman is to the right of the shirt,1
the shirt is wearing the woman,0
the woman is wearing the shirt,1
the woman is to the left of the people,0
the people is to the left of the woman,1
the woman is to the left of the people,0
the people is to the left of the woman,1
the shirt is to the left of the people,0
the people is to the left of the shirt,1
the shirt is to the left of the people,0
the people is to the left of the shirt,1
the hair is to the left of the wall,0
the wall is to the left of the hair,1
the woman is to the left of the shirt,0
the shirt is to the left of the woman,1
the woman is to the left of the shirt,0
the shirt is to the left of the woman,1
the window is to the right of the wall,0
the wall is to the right of the window,1
the wall is to the left of the window,0
the window is to the left of the wall,1
the table is to the right of the woman,0
the woman is to the right of the table,1
the couple is to the left of the table,0
the table is to the left of the couple,1
the woman is to the left of the table,0
the table is to the left of the woman,1
the man is to the left of the table,0
the table is to the left of the man,1
the table is at the couple,0
the couple is at the table,1
the table is to the right of the man,0
the man is to the right of the table,1
the airport is in the airplane,0
the airplane is in the airport,1
the man is to the right of the bench,0
the bench is to the right of the man,1
the bench is to the left of the man,0
the man is to the left of the bench,1
the bench is sitting on the man,0
the man is sitting on the bench,1
the train is to the left of the trees,0
the trees is to the left of the train,1
the trees is to the right of the train,0
the train is to the right of the trees,1
the floor is on the bike,0
the bike is on the floor,1
the floor is on the bike,0
the bike is on the floor,1
the bed is in the man,0
the man is in the bed,1
the book is reading the man,0
the man is reading the book,1
the people is to the right of the man,0
the man is to the right of the people,1
the man is to the left of the book,0
the book is to the left of the man,1
the book is holding the people,0
the people is holding the book,1
the man is to the left of the people,0
the people is to the left of the man,1
the bed is in the people,0
the people is in the bed,1
the bear is holding the child,0
the child is holding the bear,1
the arm is to the left of the bear,0
the bear is to the left of the arm,1
the shirt is to the left of the bear,0
the bear is to the left of the shirt,1
the bear is to the right of the arm,0
the arm is to the right of the bear,1
the bear is to the right of the shirt,0
the shirt is to the right of the bear,1
the sheep is to the right of the woman,0
the woman is to the right of the sheep,1
the field is in the sheep,0
the sheep is in the field,1
the woman is to the left of the sheep,0
the sheep is to the left of the woman,1
the field is in the sheep,0
the sheep is in the field,1
the fence is to the right of the shirt,0
the shirt is to the right of the fence,1
the racket is to the left of the shirt,0
the shirt is to the left of the racket,1
